Depth sed [m]	Depth corr [m]	Age [ka BP]	G. bulloides [%]	G. inflata [%]	T. truncatulinoides [%]	G. siphonifera [%]	G. ruber [%]	G. rubescens [%]	G. tenella [%]	N. incompta [%]	N. pachyderma s [%]	T. quinqueloba d [%]	T. quinqueloba s [%]	G. glutinata [%]	G. scitula [%]	G. hirsuta [%]	O. universa [%]	T. crassaformis [%]	G. adamsi [%]	G. calida [%]	G. sacculifer [%]	G. digitata [%]	G. trilobus [%]	G. conglobatus [%]	Foram plankt indet [%]	T. quinqueloba [%]	Foram plankt tropical [%]	Foram plankt subpolar [%]	Foram plankt [#]
1.290	1.30	9.26	25.25	23.26	7.64	0.83	13.62	0.00	0.00	18.60	0.50	1.00	1.16	3.99	1.99	0.66	1.50	0	0.00	0	0	0.00	0	0	0	2.16	0.00	2.66	602
1.300	1.31	9.33	25.88	26.95	7.50	0.31	14.70	0.00	0.31	14.85	0.15	0.15	0.92	3.98	1.68	0.77	1.84	0	0.00	0	0	0.00	0	0	0	1.07	0.31	1.23	653
1.320	1.33	9.45	23.19	28.45	10.36	0.49	10.86	0.00	0.00	14.97	0.33	1.32	1.81	2.14	2.14	1.48	2.47	0	0.00	0	0	0.00	0	0	0	3.13	0.00	3.45	608
1.330	1.34	9.58	21.05	30.98	10.33	0.52	16.08	0.00	0.13	13.86	0.13	0.92	0.92	1.70	1.05	0.92	1.44	0	0.00	0	0	0.00	0	0	0	1.83	0.13	1.96	765
1.340	1.35	9.74	21.96	25.67	10.83	0.59	14.84	0.00	0.74	17.06	0.15	0.89	1.93	1.63	2.37	0.45	0.89	0	0.00	0	0	0.00	0	0	0	2.82	0.74	2.97	674
1.360	1.37	10.03	26.79	24.30	10.44	0.31	9.81	0.00	0.16	17.76	0.16	2.02	2.49	2.65	1.40	0.93	0.78	0	0.00	0	0	0.00	0	0	0	4.52	0.16	4.67	642
1.380	1.39	10.31	29.02	21.45	8.83	0.79	10.73	0.00	0.63	14.67	0.16	0.79	1.58	4.73	4.89	0.47	1.26	0	0.00	0	0	0.00	0	0	0	2.37	0.63	2.52	634
1.400	1.41	10.48	25.76	25.89	9.38	0.00	8.19	0.13	0.13	20.08	0.26	0.92	1.45	4.23	1.98	0.53	1.06	0	0.00	0	0	0.00	0	0	0	2.38	0.26	2.64	757
1.420	1.43	10.62	20.57	25.90	9.67	0.50	10.78	0.00	0.12	18.96	0.25	0.62	1.73	3.84	2.85	1.12	2.73	0	0.00	0	0	0.37	0	0	0	2.35	0.12	2.60	807
1.440	1.45	10.75	18.57	26.99	8.18	0.23	10.75	0.00	0.00	24.42	0.12	1.29	1.29	3.39	1.64	0.93	1.99	0	0.00	0	0	0.23	0	0	0	2.57	0.00	2.69	856
1.460	1.47	10.88	23.64	21.60	13.99	0.27	9.92	0.00	0.00	19.84	0.82	1.36	0.95	3.67	1.49	1.09	1.22	0	0.00	0	0	0.14	0	0	0	2.31	0.00	3.13	736
1.490	1.50	10.95	19.08	29.91	6.50	0.43	10.40	0.00	0.00	21.39	0.58	0.87	0.87	3.90	1.59	1.45	3.03	0	0.00	0	0	0.00	0	0	0	1.73	0.00	2.31	692
1.500	1.51	11.02	21.70	23.23	9.18	0.83	7.65	0.14	0.00	25.59	0.97	0.42	0.42	4.73	1.81	1.25	2.09	0	0.00	0	0	0.00	0	0	0	0.83	0.14	1.81	719
1.520	1.53	11.03	21.77	22.51	10.33	0.55	10.89	0.37	0.00	22.88	0.00	1.29	0.92	3.69	2.58	0.74	1.48	0	0.00	0	0	0.00	0	0	0	2.21	0.37	2.21	542
1.540	1.55	11.01	21.34	23.11	10.10	0.51	8.46	0.00	0.00	26.01	0.63	0.38	1.01	3.79	1.77	0.51	2.27	0	0.00	0	0	0.13	0	0	0	1.39	0.00	2.02	792
1.560	1.57	11.12	18.52	29.19	12.30	0.59	7.70	0.15	0.44	23.70	0.30	0.44	0.74	1.19	0.89	1.48	2.22	0	0.00	0	0	0.15	0	0	0	1.19	0.59	1.48	675
1.580	1.59	11.36	22.55	24.21	8.96	0.50	6.80	0.17	0.00	26.87	1.00	0.66	0.83	3.32	1.99	0.50	1.66	0	0.00	0	0	0.00	0	0	0	1.49	0.17	2.49	603
1.600	1.61	11.63	19.47	20.60	11.34	0.38	7.18	0.19	0.19	31.76	1.13	1.13	1.51	2.84	0.95	0.38	0.95	0	0.00	0	0	0.00	0	0	0	2.65	0.38	3.78	529
1.610	1.62	11.77	20.30	23.06	14.39	0.18	4.98	0.18	0.00	25.09	0.37	1.48	2.77	3.51	1.48	0.37	1.85	0	0.00	0	0	0.00	0	0	0	4.24	0.18	4.61	542
1.620	1.63	11.87	18.76	22.42	14.94	0.00	3.97	0.32	0.16	26.23	0.32	1.91	1.27	4.13	3.18	0.16	2.23	0	0.00	0	0	0.00	0	0	0	3.18	0.48	3.50	629
1.640	1.65	12.07	21.03	20.65	11.85	0.57	5.74	0.38	0.00	28.68	0.19	2.29	1.72	3.82	1.53	0.19	1.15	0	0.00	0	0	0.19	0	0	0	4.02	0.38	4.21	523
1.660	1.67	12.27	21.78	23.59	11.25	0.54	7.44	0.54	0.00	25.77	0.54	1.45	0.54	3.09	2.54	0.00	0.91	0	0.00	0	0	0.00	0	0	0	2.00	0.54	2.54	551
1.680	1.69	12.47	19.54	29.69	13.23	0.00	5.54	0.15	0.31	20.92	0.92	1.38	0.62	2.31	1.85	0.46	3.08	0	0.00	0	0	0.00	0	0	0	2.00	0.46	2.92	650
1.690	1.70	12.57	23.98	21.95	12.60	0.14	6.78	0.14	0.41	21.68	0.68	1.63	1.08	2.98	2.44	0.14	3.39	0	0.00	0	0	0.00	0	0	0	2.71	0.54	3.39	738
1.700	1.71	12.67	19.47	23.08	14.76	0.31	7.69	0.16	0.16	21.04	0.47	1.10	3.30	4.40	2.67	0.31	1.10	0	0.00	0	0	0.00	0	0	0	4.40	0.31	4.87	637
1.720	1.73	12.82	21.88	23.56	14.45	0.14	7.01	0.00	0.00	19.21	0.84	1.40	2.24	5.05	2.38	0.70	1.12	0	0.00	0	0	0.00	0	0	0	3.65	0.00	4.49	713
1.740	1.75	12.95	24.81	21.99	15.98	0.19	6.58	0.19	0.00	17.86	1.50	2.26	1.88	3.20	2.26	0.75	0.56	0	0.00	0	0	0.00	0	0	0	4.14	0.19	5.64	532
1.760	1.77	13.08	26.47	23.20	13.07	0.00	6.21	0.00	0.00	19.93	0.65	2.61	1.31	2.94	2.29	0.33	0.98	0	0.00	0	0	0.00	0	0	0	3.92	0.00	4.58	612
1.780	1.79	13.21	24.70	23.65	13.62	0.00	8.83	0.15	0.00	19.01	0.45	1.05	1.35	3.44	1.35	0.60	1.50	0	0.00	0	0	0.30	0	0	0	2.40	0.15	2.84	668
1.790	1.80	13.28	25.36	19.75	14.86	0.18	8.70	0.18	0.00	18.66	0.18	1.81	1.81	3.99	0.91	1.45	2.17	0	0.00	0	0	0.00	0	0	0	3.62	0.18	3.80	552
1.800	1.81	13.35	27.48	19.13	16.52	0.17	8.17	0.00	0.00	18.96	0.52	1.04	3.65	1.74	0.87	1.04	0.35	0	0.00	0	0	0.35	0	0	0	4.70	0.00	5.22	575
1.820	1.83	13.48	23.37	24.78	15.29	0.35	6.68	0.18	0.35	17.57	0.70	1.58	2.28	3.87	1.41	0.35	1.05	0	0.00	0	0	0.18	0	0	0	3.87	0.53	4.57	569
1.840	1.85	13.61	23.21	22.63	16.63	0.19	6.19	0.00	0.00	17.99	0.97	2.71	2.51	3.68	2.13	0.77	0.39	0	0.00	0	0	0.00	0	0	0	5.22	0.00	6.19	517
1.860	1.87	13.74	25.80	22.43	16.69	0.00	7.25	0.00	0.17	16.86	1.35	1.35	0.67	2.70	1.35	1.52	1.85	0	0.00	0	0	0.00	0	0	0	2.02	0.17	3.37	593
1.880	1.89	13.87	22.33	25.38	14.56	0.28	11.10	0.14	0.14	15.67	0.42	1.53	0.83	3.33	1.53	0.97	1.66	0	0.00	0	0	0.14	0	0	0	2.36	0.28	2.77	721
1.900	1.91	14.00	25.00	23.92	18.53	0.00	6.12	0.00	0.18	15.29	0.18	1.26	1.08	3.60	1.98	0.54	2.16	0	0.00	0	0	0.18	0	0	0	2.34	0.18	2.52	556
1.920	1.93	14.14	24.26	22.04	14.81	0.19	9.07	0.19	0.00	19.26	0.37	1.48	2.59	1.48	1.67	0.00	2.59	0	0.00	0	0	0.00	0	0	0	4.07	0.19	4.44	540
1.940	1.95	14.27	22.14	26.13	13.79	0.00	8.89	0.00	0.00	14.88	0.18	2.36	2.18	4.72	1.63	1.63	1.45	0	0.00	0	0	0.00	0	0	0	4.54	0.00	4.72	551
1.950	1.96	14.33	23.52	21.90	13.64	0.18	11.85	0.00	0.00	16.52	0.72	1.97	1.44	5.03	1.44	0.72	1.08	0	0.00	0	0	0.00	0	0	0	3.41	0.00	4.13	557
1.960	1.97	14.40	26.51	18.13	12.67	0.00	6.24	0.19	0.00	18.13	0.97	2.92	4.48	4.09	2.34	1.17	2.14	0	0.00	0	0	0.00	0	0	0	7.41	0.19	8.38	513
1.990	2.00	14.60	25.85	15.51	17.29	0.18	5.17	0.00	0.00	17.29	0.53	5.17	4.10	5.53	2.67	0.36	0.36	0	0.00	0	0	0.00	0	0	0	9.27	0.00	9.80	561
2.000	2.01	14.66	22.91	21.64	21.27	0.00	6.18	0.00	0.00	16.18	0.55	1.27	2.73	2.18	1.64	2.36	1.09	0	0.00	0	0	0.00	0	0	0	4.00	0.00	4.55	550
2.020	2.03	14.79	31.58	17.48	13.53	0.00	6.95	0.00	0.00	17.67	0.19	1.50	2.07	4.70	1.50	1.32	1.50	0	0.00	0	0	0.00	0	0	0	3.57	0.00	3.76	532
2.040	2.05	14.92	31.27	19.64	16.36	0.18	4.91	0.00	0.00	17.45	0.91	0.91	1.27	4.36	0.91	1.45	0.18	0	0.00	0	0	0.18	0	0	0	2.18	0.00	3.09	550
2.050	2.06	14.99	31.09	21.16	12.73	0.00	4.49	0.00	0.00	20.41	0.56	2.62	2.06	2.25	0.75	1.31	0.37	0	0.00	0	0	0.19	0	0	0	4.68	0.00	5.24	534
2.080	2.09	15.19	30.81	24.82	10.56	0.18	6.87	0.00	0.00	17.61	0.53	1.76	1.23	2.46	1.23	1.41	0.53	0	0.00	0	0	0.00	0	0	0	2.99	0.00	3.52	568
2.100	2.11	15.32	28.40	24.17	8.16	0.30	8.61	0.15	0.00	19.34	0.00	1.06	3.17	1.81	1.51	1.21	2.11	0	0.00	0	0	0.00	0	0	0	4.23	0.15	4.23	662
2.120	2.13	15.45	32.92	17.87	10.03	0.00	4.08	0.00	0.16	21.32	0.94	1.57	2.19	5.96	0.47	1.57	0.94	0	0.00	0	0	0.00	0	0	0	3.76	0.16	4.70	638
2.150	2.16	15.65	34.55	20.18	7.64	0.00	3.64	0.00	0.00	24.36	0.73	1.09	1.82	4.00	0.36	1.27	0.36	0	0.00	0	0	0.00	0	0	0	2.91	0.00	3.64	550
2.160	2.17	15.71	27.99	24.44	8.40	0.00	4.85	0.00	0.00	24.44	0.37	0.93	1.31	3.54	1.12	1.12	1.49	0	0.00	0	0	0.00	0	0	0	2.24	0.00	2.61	536
2.180	2.19	15.85	29.01	21.47	10.25	0.00	5.61	0.19	0.00	20.31	1.16	2.13	2.71	3.48	0.97	1.55	1.16	0	0.00	0	0	0.00	0	0	0	4.84	0.19	6.00	517
2.200	2.21	15.98	24.40	22.74	11.09	0.00	4.62	0.00	0.00	25.51	0.00	3.14	2.22	3.33	1.29	0.74	0.92	0	0.00	0	0	0.00	0	0	0	5.36	0.00	5.36	541
2.210	2.22	16.04	23.30	21.02	7.58	0.19	6.82	0.38	0.00	22.35	1.33	4.36	4.17	4.92	0.57	2.65	0.38	0	0.00	0	0	0.00	0	0	0	8.52	0.38	9.85	528
2.240	2.25	16.24	27.29	19.30	12.15	0.00	6.66	0.00	0.33	20.30	0.50	2.16	3.00	4.83	1.50	1.66	0.17	0	0.00	0	0	0.17	0	0	0	5.16	0.33	5.66	601
2.250	2.26	16.31	28.95	23.27	11.01	0.36	7.99	0.36	0.00	17.41	0.36	1.78	1.95	2.66	1.24	1.78	0.71	0	0.00	0	0	0.18	0	0	0	3.73	0.36	4.09	563
2.260	2.27	16.37	24.37	18.82	10.39	0.00	7.35	0.00	0.00	23.66	0.72	3.41	4.48	4.84	0.36	1.08	0.54	0	0.00	0	0	0.00	0	0	0	7.89	0.00	8.60	558
2.300	2.31	16.28	27.66	21.45	10.28	0.35	9.93	0.00	0.00	16.67	0.71	2.30	3.19	3.37	1.95	1.06	1.06	0	0.00	0	0	0.00	0	0	0	5.50	0.00	6.21	564
2.320	2.33	16.23	23.91	26.28	15.15	0.18	4.74	0.00	0.00	13.69	0.55	3.47	3.10	5.47	1.09	1.46	0.91	0	0.00	0	0	0.00	0	0	0	6.57	0.00	7.12	548
2.340	2.35	16.18	24.60	25.71	16.83	0.16	6.35	0.00	0.00	15.56	0.79	1.59	2.22	2.70	1.27	1.43	0.79	0	0.00	0	0	0.00	0	0	0	3.81	0.00	4.60	630
2.360	2.37	16.13	25.33	24.58	17.64	0.00	4.50	0.00	0.00	15.76	0.38	2.25	3.75	2.25	0.94	1.88	0.75	0	0.00	0	0	0.00	0	0	0	6.00	0.00	6.38	533
2.380	2.39	16.08	22.69	22.87	13.07	0.00	3.99	0.18	0.00	17.60	1.27	5.44	4.72	6.72	1.09	0.36	0.00	0	0.00	0	0	0.00	0	0	0	10.16	0.18	11.43	551
2.420	2.43	16.11	24.25	27.63	12.59	0.19	6.02	0.38	0.00	14.85	1.50	2.82	1.32	5.64	1.69	0.75	0.38	0	0.00	0	0	0.00	0	0	0	4.14	0.38	5.64	532
2.440	2.45	16.23	27.76	25.18	8.27	0.18	7.35	0.00	0.18	15.81	0.55	3.86	3.49	5.88	0.37	0.55	0.55	0	0.00	0	0	0.00	0	0	0	7.35	0.18	7.90	544
2.460	2.47	16.34	26.73	23.46	9.81	0.19	10.96	0.19	0.00	15.19	0.19	3.08	2.69	3.85	0.77	1.35	1.54	0	0.00	0	0	0.00	0	0	0	5.77	0.19	5.96	520
2.480	2.49	16.46	25.84	19.66	8.80	0.00	6.93	0.19	0.19	17.98	0.75	5.43	5.24	6.93	1.87	0.19	0.00	0	0.00	0	0	0.00	0	0	0	10.67	0.37	11.42	534
2.500	2.51	16.57	29.78	20.40	8.82	0.18	7.35	0.18	0.18	16.18	1.65	4.96	3.86	4.96	0.74	0.37	0.37	0	0.00	0	0	0.00	0	0	0	8.82	0.37	10.48	544
2.520	2.53	16.68	27.03	21.24	8.88	0.00	6.18	0.39	0.00	18.92	1.35	4.63	4.44	5.41	0.97	0.19	0.39	0	0.00	0	0	0.00	0	0	0	9.07	0.39	10.42	518
2.540	2.55	16.79	27.41	22.20	12.93	0.39	5.98	0.58	0.00	12.93	0.77	4.63	4.44	5.41	1.16	0.00	1.16	0	0.00	0	0	0.00	0	0	0	9.07	0.58	9.85	518
2.560	2.57	16.90	25.89	20.36	11.26	0.20	7.51	0.00	0.40	18.58	1.19	3.16	2.96	6.72	1.19	0.00	0.59	0	0.00	0	0	0.00	0	0	0	6.13	0.40	7.31	506
2.580	2.59	17.00	24.90	22.16	11.18	0.00	10.00	0.59	0.00	15.49	1.57	1.96	3.92	5.49	1.57	0.78	0.39	0	0.00	0	0	0.00	0	0	0	5.88	0.59	7.45	510
2.600	2.61	17.11	25.05	22.01	17.08	0.38	7.78	0.00	0.00	14.61	0.38	2.66	2.09	4.36	1.52	0.38	1.71	0	0.00	0	0	0.00	0	0	0	4.74	0.00	5.12	527
2.620	2.63	17.21	25.05	22.11	13.89	0.00	11.15	0.00	0.00	12.72	0.00	4.89	2.74	4.31	2.15	0.00	0.98	0	0.00	0	0	0.00	0	0	0	7.63	0.00	7.63	511
2.660	2.67	17.43	26.76	18.55	14.26	0.00	13.67	0.00	0.00	14.26	0.78	2.34	2.15	4.88	1.37	0.20	0.78	0	0.00	0	0	0.00	0	0	0	4.49	0.00	5.27	512
2.690	2.70	17.59	28.28	15.88	12.23	0.00	13.14	0.36	0.18	14.05	0.36	4.93	4.56	4.93	0.91	0.00	0.18	0	0.00	0	0	0.00	0	0	0	9.49	0.55	9.85	548
2.700	2.71	17.64	29.14	17.98	10.99	0.00	10.12	0.00	0.17	15.36	0.70	4.01	4.19	4.89	1.92	0.00	0.52	0	0.00	0	0	0.00	0	0	0	8.20	0.17	8.90	573
2.710	2.72	17.66	31.76	14.93	12.29	0.00	11.15	0.00	0.00	15.12	0.38	2.65	3.02	6.05	2.08	0.00	0.57	0	0.00	0	0	0.00	0	0	0	5.67	0.00	6.05	529
2.740	2.75	17.63	33.72	12.98	13.37	0.00	6.98	0.00	0.00	15.31	0.97	3.29	4.46	6.40	1.74	0.00	0.78	0	0.00	0	0	0.00	0	0	0	7.75	0.00	8.72	516
2.760	2.77	17.62	34.44	8.89	10.37	0.00	7.59	0.00	0.00	16.67	0.74	6.30	5.00	8.33	1.11	0.19	0.37	0	0.00	0	0	0.00	0	0	0	11.30	0.00	12.04	540
2.780	2.79	17.60	33.40	7.81	14.26	0.00	11.33	0.00	0.20	16.80	0.78	6.05	3.71	3.71	1.37	0.00	0.59	0	0.00	0	0	0.00	0	0	0	9.77	0.20	10.55	512
2.800	2.81	17.58	37.89	10.55	12.11	0.00	11.91	0.00	0.00	13.87	0.20	3.12	3.91	5.08	0.98	0.00	0.39	0	0.00	0	0	0.00	0	0	0	7.03	0.00	7.23	512
2.820	2.83	17.56	32.11	12.38	16.44	0.00	8.70	0.00	0.00	15.28	0.19	3.48	5.22	5.22	0.77	0.19	0.00	0	0.00	0	0	0.00	0	0	0	8.70	0.00	8.90	517
2.860	2.87	17.53	26.56	12.11	24.02	0.00	10.16	0.00	0.00	12.89	0.20	3.52	3.91	5.27	1.37	0.00	0.00	0	0.00	0	0	0.00	0	0	0	7.42	0.00	7.62	512
2.890	2.90	17.50	24.24	12.02	20.99	0.00	8.78	0.57	0.00	16.41	0.57	3.82	4.77	6.11	1.15	0.38	0.19	0	0.00	0	0	0.00	0	0	0	8.59	0.57	9.16	524
2.900	2.91	17.49	22.68	16.84	24.91	0.00	9.79	0.00	0.00	13.57	1.03	2.75	3.95	3.44	0.86	0.17	0.00	0	0.00	0	0	0.00	0	0	0	6.70	0.00	7.73	582
2.920	2.93	17.58	26.39	15.06	22.49	0.00	7.25	0.00	0.00	14.13	0.74	6.13	3.35	2.97	1.30	0.19	0.00	0	0.00	0	0	0.00	0	0	0	9.48	0.00	10.22	538
2.940	2.95	17.70	32.76	13.98	18.01	0.00	6.13	0.00	0.19	12.84	0.77	5.17	3.45	4.98	1.34	0.19	0.19	0	0.00	0	0	0.00	0	0	0	8.62	0.19	9.39	522
2.960	2.97	17.82	31.23	12.09	25.81	0.00	4.33	0.00	0.00	13.18	0.90	2.17	4.87	3.79	1.44	0.18	0.00	0	0.00	0	0	0.00	0	0	0	7.04	0.00	7.94	554
2.980	2.99	17.94	26.15	11.02	18.42	0.16	4.11	0.00	0.00	16.12	1.15	7.07	5.26	8.55	1.97	0.00	0.00	0	0.00	0	0	0.00	0	0	0	12.34	0.00	13.49	608
3.000	3.01	18.06	30.45	13.72	23.68	0.00	7.33	0.00	0.00	11.84	0.75	2.26	4.14	3.76	1.69	0.19	0.19	0	0.00	0	0	0.00	0	0	0	6.39	0.00	7.14	532
3.020	3.03	18.16	31.33	18.58	17.12	0.00	7.47	0.00	0.00	10.56	2.37	2.19	3.28	5.10	1.28	0.55	0.18	0	0.00	0	0	0.00	0	0	0	5.46	0.00	7.83	549
3.040	3.05	18.26	26.05	19.54	13.98	0.00	6.90	0.19	0.00	10.54	2.87	4.79	3.26	8.43	2.87	0.19	0.38	0	0.00	0	0	0.00	0	0	0	8.05	0.19	10.92	522
3.070	3.08	18.41	33.64	12.83	18.59	0.00	3.72	0.19	0.00	8.55	1.86	2.79	8.18	7.81	1.30	0.37	0.19	0	0.00	0	0	0.00	0	0	0	10.97	0.19	12.83	538
3.080	3.09	18.46	35.48	12.19	19.00	0.00	1.25	0.18	0.00	10.22	1.43	7.17	6.99	5.02	0.36	0.54	0.18	0	0.00	0	0	0.00	0	0	0	14.16	0.18	15.59	558
3.120	3.13	18.65	29.40	8.32	12.62	0.00	1.66	0.00	0.00	14.15	0.97	15.12	10.96	5.83	0.97	0.00	0.00	0	0.00	0	0	0.00	0	0	0	26.07	0.00	27.05	721
3.140	3.15	18.70	30.90	8.31	15.78	0.00	1.00	0.00	0.00	13.29	1.99	10.13	11.46	6.31	0.66	0.17	0.00	0	0.00	0	0	0.00	0	0	0	21.59	0.00	23.59	602
3.160	3.17	18.74	32.67	8.17	12.35	0.00	0.80	0.00	0.00	13.35	3.19	9.36	10.96	7.77	1.39	0.00	0.00	0	0.00	0	0	0.00	0	0	0	20.32	0.00	23.51	502
3.200	3.21	18.81	35.96	9.36	16.75	0.00	1.48	0.16	0.00	12.32	1.97	8.21	8.87	4.27	0.49	0.16	0.00	0	0.00	0	0	0.00	0	0	0	17.08	0.16	19.05	609
3.220	3.23	18.85	28.88	8.05	15.65	0.00	0.91	0.00	0.00	15.81	1.98	9.73	10.64	7.29	0.76	0.30	0.00	0	0.00	0	0	0.00	0	0	0	20.36	0.00	22.34	658
3.240	3.25	18.88	29.78	10.26	11.05	0.00	1.18	0.00	0.00	14.99	1.97	12.03	12.03	6.31	0.20	0.20	0.00	0	0.00	0	0	0.00	0	0	0	24.06	0.00	26.04	507
3.260	3.27	18.92	25.33	9.77	11.09	0.00	0.99	0.00	0.00	16.39	2.32	8.61	13.91	10.93	0.50	0.17	0.00	0	0.00	0	0	0.00	0	0	0	22.52	0.00	24.83	604
3.300	3.31	18.99	32.24	9.36	10.05	0.00	1.91	0.00	0.00	14.73	5.03	8.49	9.53	8.32	0.00	0.35	0.00	0	0.00	0	0	0.00	0	0	0	18.02	0.00	23.05	577
3.320	3.33	19.03	30.98	7.98	11.69	0.00	2.60	0.00	0.00	15.21	2.41	10.02	10.58	8.16	0.00	0.37	0.00	0	0.00	0	0	0.00	0	0	0	20.59	0.00	23.01	539
3.340	3.35	19.06	37.52	10.44	10.44	0.00	1.93	0.00	0.00	14.89	3.09	7.74	8.32	4.45	1.16	0.00	0.00	0	0.00	0	0	0.00	0	0	0	16.05	0.00	19.15	517
3.360	3.37	19.10	29.19	9.91	10.27	0.00	1.26	0.00	0.00	17.66	3.24	8.65	12.79	5.95	0.72	0.36	0.00	0	0.00	0	0	0.00	0	0	0	21.44	0.00	24.68	555
3.380	3.39	19.14	32.62	6.25	13.28	0.00	1.17	0.00	0.20	14.84	6.05	9.96	7.23	7.81	0.39	0.20	0.00	0	0.00	0	0	0.00	0	0	0	17.19	0.20	23.24	512
3.400	3.41	19.17	32.96	14.23	14.42	0.19	0.56	0.00	0.19	11.61	2.62	5.62	9.93	7.12	0.56	0.00	0.00	0	0.00	0	0	0.00	0	0	0	15.54	0.19	18.16	534
3.440	3.45	19.24	32.95	9.06	11.95	0.00	1.16	0.00	0.00	20.23	4.05	6.36	6.55	5.97	1.73	0.00	0.00	0	0.00	0	0	0.00	0	0	0	12.91	0.00	16.96	519
3.460	3.47	19.28	31.03	9.31	9.83	0.00	0.86	0.00	0.00	15.86	5.34	10.00	9.14	8.28	0.34	0.00	0.00	0	0.00	0	0	0.00	0	0	0	19.14	0.00	24.48	580
3.500	3.51	19.35	29.82	8.25	8.77	0.00	0.70	0.00	0.00	15.09	3.33	10.70	13.68	8.77	0.70	0.18	0.00	0	0.00	0	0	0.00	0	0	0	24.39	0.00	27.72	570
3.510	3.52	19.37	28.48	10.03	13.59	0.00	0.49	0.00	0.00	14.72	5.99	9.55	11.17	5.50	0.49	0.00	0.00	0	0.00	0	0	0.00	0	0	0	20.71	0.00	26.70	618
3.520	3.53	19.39	26.13	10.89	12.89	0.00	1.27	0.00	0.00	17.06	3.99	13.07	8.53	5.99	0.18	0.00	0.00	0	0.00	0	0	0.00	0	0	0	21.60	0.00	25.59	551
3.560	3.57	19.48	30.50	16.08	12.38	0.00	2.59	0.00	0.18	15.53	2.03	5.91	5.91	7.39	0.74	0.74	0.00	0	0.00	0	0	0.00	0	0	0	11.83	0.18	13.86	541
3.600	3.61	19.57	32.02	11.66	13.79	0.00	1.97	0.00	0.00	13.96	2.96	6.57	9.20	6.73	0.49	0.66	0.00	0	0.00	0	0	0.00	0	0	0	15.76	0.00	18.72	609
3.620	3.63	19.61	33.03	12.55	9.41	0.00	2.77	0.00	0.37	14.39	3.51	8.49	8.86	6.46	0.00	0.00	0.18	0	0.00	0	0	0.00	0	0	0	17.34	0.37	20.85	542
3.660	3.67	19.70	31.31	9.76	11.95	0.00	1.18	0.00	0.00	13.30	4.38	8.25	11.45	7.58	0.84	0.00	0.00	0	0.00	0	0	0.00	0	0	0	19.70	0.00	24.07	594
3.680	3.69	19.75	29.71	9.42	13.31	0.00	0.65	0.00	0.00	15.91	3.90	7.95	10.88	7.63	0.65	0.00	0.00	0	0.00	0	0	0.00	0	0	0	18.83	0.00	22.73	616
3.700	3.71	19.79	30.74	11.74	9.15	0.00	0.86	0.17	0.00	14.68	3.63	12.95	7.77	7.94	0.35	0.00	0.00	0	0.00	0	0	0.00	0	0	0	20.73	0.17	24.35	579
3.740	3.75	19.88	30.25	12.85	11.53	0.00	0.57	0.00	0.19	16.07	3.02	8.88	12.29	3.97	0.38	0.00	0.00	0	0.00	0	0	0.00	0	0	0	21.17	0.19	24.20	529
3.760	3.77	19.93	26.05	10.27	14.45	0.00	0.76	0.00	0.19	15.59	2.28	10.27	13.50	6.46	0.19	0.00	0.00	0	0.00	0	0	0.00	0	0	0	23.76	0.19	26.05	526
3.780	3.79	19.97	26.68	6.53	9.33	0.00	0.19	0.00	0.00	19.96	2.80	8.96	17.91	6.53	1.12	0.00	0.00	0	0.00	0	0	0.00	0	0	0	26.87	0.00	29.66	536
3.800	3.81	20.02	23.80	6.34	13.87	0.00	0.86	0.34	0.00	19.52	3.60	9.25	13.87	8.22	0.17	0.17	0.00	0	0.00	0	0	0.00	0	0	0	23.12	0.34	26.71	584
3.820	3.83	20.06	27.60	9.80	11.16	0.00	0.45	0.00	0.00	20.81	4.07	7.99	10.71	7.24	0.15	0.00	0.00	0	0.00	0	0	0.00	0	0	0	18.70	0.00	22.78	663
3.860	3.87	20.15	20.14	10.68	16.81	0.00	0.35	0.18	0.00	19.96	1.05	9.11	12.26	9.11	0.35	0.00	0.00	0	0.00	0	0	0.00	0	0	0	21.37	0.18	22.42	571
3.880	3.89	20.20	25.60	15.03	19.67	0.00	1.48	0.00	0.37	14.66	0.56	8.53	8.35	5.19	0.19	0.37	0.00	0	0.00	0	0	0.00	0	0	0	16.88	0.37	17.44	539
3.900	3.91	20.24	30.96	9.62	17.88	0.00	0.58	0.00	0.19	15.00	1.73	8.65	11.15	4.23	0.00	0.00	0.00	0	0.00	0	0	0.00	0	0	0	19.81	0.19	21.54	520
3.920	3.93	20.29	31.18	7.38	20.30	0.00	0.74	0.00	0.00	12.92	1.66	7.93	11.62	5.90	0.00	0.37	0.00	0	0.00	0	0	0.00	0	0	0	19.56	0.00	21.22	542
3.940	3.95	20.33	26.00	9.95	13.09	0.00	1.05	0.00	0.00	19.20	4.01	9.25	11.52	5.93	0.00	0.00	0.00	0	0.00	0	0	0.00	0	0	0	20.77	0.00	24.78	573
3.960	3.97	20.38	25.18	5.66	14.60	0.00	0.36	0.00	0.00	14.78	3.28	14.60	15.33	5.84	0.36	0.00	0.00	0	0.00	0	0	0.00	0	0	0	29.93	0.00	33.21	548
3.980	3.99	20.43	25.14	7.13	14.63	0.00	1.13	0.00	0.00	15.01	3.56	11.63	13.70	7.69	0.38	0.00	0.00	0	0.00	0	0	0.00	0	0	0	25.33	0.00	28.89	533
