Sample,Sample ID,Flag,Device,Latitude,Longitude,Water depth,Ocean,Sample depth top,Sample depth bottom,Sample depth average,Author,Journal,Year,Publication doi,Resource doi,Comment,Database,Type,Count min,Count,D. anfracta,G. cavernula,G. crassaformis,G. hirsuta,G. cultrata,G. scitula,G. truncatulinoides,G. tumida,G. ungulata,G. eastropacia,G. inflata,N. dutertrei,N. incompta,N. pachyderma,P. obliquiloculata,G. conglomerata,G. hexagonus,B. pumilio,G. bulloides,G. falconensis,G. conglobatus,G. ruber ruber,G. ruber albus,T. sacculifer,G. tenellus,O. universa,B. digitata,G. siphonifera,G. calida,G. adamsi,T. quinqueloba,T. humilis,G. rubescens,S. dehiscens,C. nitida,G. glutinata,G. uvula,G. minuta,T. iota,H. pelagica,H. digitata
RC8C83,BUFD_0352,1,Trigger,-51.08333333,129.9666667,3442,257,0,0.02,0.01,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, T. sacculifer subspecies set to N/A",98,1,,257,0,0,0,0,0,0,10,0,0,0,37,1,16,37,1,0,0,0,95,16,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,21,0,0,0,0,0
RC8C84,BUFD_0353,1,Trigger,-51.5,135.85,3204,257,0,0.02,0.01,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, T. sacculifer subspecies set to N/A",98,1,,237,0,0,0,0,0,0,2,0,0,0,38,0,12,43,1,0,0,0,93,20,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,17,0,0,0,0,0
RC8C81,BUFD_0354,0,Trigger,-32.41666667,160.45,2723,81,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,,98,1,,421,0,0,13,12,2,1,40,0,0,0,43,7,13,0,2,1,1,0,10,106,8,0,85,2,2,1,1,4,8,0,3,0,5,0,1,34,0,0,1,0,0
RC8C83,BUFD_0355,0,Trigger,-29.36666667,105.2333333,3157,129,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,,2,1,,403,0,0,12,6,0,0,37,1,0,0,14,0,0,0,0,0,2,0,6,25,35,0,183,5,6,4,1,10,9,0,0,0,6,0,2,34,0,0,0,0,0
RC8-106,BUFD_0356,1,Trigger,14,-74.88333333,3904,7,0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,sample depth information from duplicate sample,10,1,,300,0,0,1,0,24,0,2,10,0,0,1,66,0,2,11,0,0,0,1,0,2,21,59,51,0,16,1,8,4,0,0,0,0,2,0,17,0,0,0,0,0
RC9C9,BUFD_0357,0,Piston,59.65,-22.76666667,2468,7,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,,410,0,0,0,1,0,3,0,0,0,0,12,51,92,22,1,0,0,0,114,8,0,0,0,0,0,1,1,0,0,0,21,0,0,0,0,72,0,0,0,0,0
RC9C97,BUFD_0358,1,Trigger,28,-88.98333333,1265,7,0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, G. conglomerata abundances moved to unidentified",10,1,,296,0,0,1,0,22,0,32,12,0,0,0,23,2,0,30,0,0,0,7,10,3,12,92,14,0,1,0,11,2,0,3,0,1,0,0,15,0,0,0,0,0
RC9C98,BUFD_0359,1,Trigger,25.28333333,-91.36666667,3374,7,0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, G. adamsi abundances moved to unidentified",10,1,,338,0,0,1,1,21,0,21,9,0,0,0,22,0,0,19,0,0,0,4,8,3,13,146,5,2,9,2,9,10,0,0,0,3,0,0,24,0,0,0,0,0
RC9C99,BUFD_0360,1,Trigger,25.6,-94.68333333,3405,7,0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"G. adamsi abundances moved to unidentified, sample depth information from duplicate sample, G. conglomerata abundances moved to unidentified",10,1,,348,0,0,2,0,5,0,36,6,0,0,0,17,0,0,38,0,0,0,6,17,5,24,119,7,2,12,3,15,12,0,0,0,1,0,0,15,0,0,0,0,0
RC9C92,BUFD_0361,1,Trigger,26.31666667,-94.35,1955,7,0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, G. conglomerata abundances moved to unidentified",10,1,,391,2,0,0,0,16,1,32,5,0,0,0,14,0,0,48,0,0,0,5,27,5,31,126,6,3,8,2,7,15,0,0,0,4,0,0,29,0,0,0,0,0
RC9C94,BUFD_0362,1,Trigger,25.68333333,-90.73333333,3424,7,0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, G. conglomerata abundances moved to unidentified",10,1,,327,0,0,2,0,13,2,18,8,0,0,0,12,0,0,28,0,0,0,5,8,0,31,116,39,4,4,0,6,10,0,1,0,1,0,0,15,0,0,0,0,0
RC9C95,BUFD_0363,1,Trigger,24.78333333,-91.45,3576,7,0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,sample depth information from duplicate sample,10,1,,429,0,0,6,1,13,1,14,13,0,0,0,21,2,0,26,0,0,0,3,12,1,40,140,42,3,6,1,12,11,0,4,0,5,0,0,48,0,0,0,0,0
RC9C98,BUFD_0364,1,Trigger,23.45,-92.48333333,3629,7,0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,sample depth information from duplicate sample,10,1,,434,0,0,1,2,17,1,25,9,0,0,0,13,2,0,28,0,0,0,2,14,4,43,136,39,11,7,0,12,15,0,0,0,11,0,0,33,0,0,0,0,0
RC9C99,BUFD_0365,1,Trigger,24.85,-90.95,3605,7,0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,sample depth information from duplicate sample,10,1,,372,0,0,0,0,27,2,16,6,0,0,0,12,1,0,27,0,0,0,3,8,6,26,137,42,1,13,0,10,9,0,0,0,4,1,0,16,0,0,0,0,0
RC9C90,BUFD_0366,1,Trigger,25.05,-88.98333333,3477,7,0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,sample depth information from duplicate sample,10,1,,349,0,0,2,1,16,6,15,3,0,0,0,21,2,0,20,0,0,0,3,3,0,24,135,30,1,9,1,13,14,0,0,0,3,0,0,23,0,0,0,0,0
RC9C92,BUFD_0367,1,Trigger,20.53333333,-84.18333333,4389,7,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"G. conglomerata abundances moved to unidentified, Water depth taken from ETOPO, G. hexagonus abundances moved to unidentified",2,1,,325,0,0,1,0,5,0,6,4,0,0,0,4,0,0,3,0,0,0,0,1,3,26,125,57,3,9,1,21,9,0,0,0,6,0,4,34,0,0,0,0,0
RC9C91,BUFD_0368,1,,10.18333333,-77.2,3191,7,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,G. adamsi abundances moved to unidentified,2,1,,520,0,0,3,0,33,1,2,5,0,0,0,54,0,0,8,0,0,0,0,0,9,44,177,107,1,9,3,17,11,0,0,0,3,4,0,23,0,0,0,0,0
RC9C97,BUFD_0369,0,Trigger,-18,-79.15,2900,81,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,,98,1,,444,0,0,1,1,42,1,1,5,0,5,63,32,41,11,24,5,9,0,76,15,2,0,28,15,1,8,1,2,5,0,7,0,0,1,0,33,0,0,2,0,0
RC9-104,BUFD_0370,1,Trigger,-27.43333333,-123.4333333,3632,81,0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, G. crassula identified",98,1,,489,0,0,18,4,0,0,20,0,0,0,14,0,0,1,0,0,1,0,11,1,53,0,287,18,1,6,5,24,3,0,0,0,4,2,0,10,0,0,0,0,0
RC9-121,BUFD_0371,0,Trigger,-24.76666667,-179.6833333,2153,81,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,G. crassula identified,98,1,,351,0,0,4,2,0,3,1,0,0,0,15,3,0,0,0,0,0,0,5,15,11,0,143,35,15,3,2,21,9,0,0,0,2,0,0,57,0,0,0,0,0
RC9-124,BUFD_0372,0,Trigger,-28.75,172.6,2540,81,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,,98,1,,371,0,0,16,11,1,2,3,0,0,0,54,2,2,0,4,0,0,0,31,66,5,0,95,21,2,2,2,9,11,0,0,0,1,0,0,24,0,0,2,0,0
RC9-125,BUFD_0373,0,Trigger,-31.61666667,170.2166667,4125,81,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,,98,1,,220,0,0,5,3,0,0,1,0,0,0,124,16,4,0,20,0,0,0,4,1,0,0,19,6,0,10,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
RC9-126,BUFD_0374,0,Trigger,-33.23333333,168.7333333,2060,81,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,,98,1,,353,0,0,4,4,0,2,16,0,0,0,140,20,20,2,1,0,0,0,46,33,0,0,27,4,0,5,1,6,11,0,0,0,0,0,0,8,0,0,0,0,0
RC9-133,BUFD_0375,0,Trigger,-45.75,148.3666667,4082,81,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,T. sacculifer subspecies set to N/A,98,1,,339,0,0,0,1,0,0,25,0,0,0,89,20,126,4,0,0,0,0,60,0,0,0,0,0,0,8,2,1,0,0,0,0,0,0,0,2,0,0,0,0,0
RC9-134,BUFD_0376,0,Trigger,-44.08333333,143.7833333,4570,129,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"T. sacculifer subspecies set to N/A, G. crassula identified",98,1,,364,0,0,0,1,0,1,20,0,0,0,22,7,61,22,21,0,0,0,122,27,0,0,0,0,0,1,3,0,0,0,37,0,1,0,0,11,0,0,0,0,0
RC9-139,BUFD_0377,1,Trigger,-47.76666667,123.1,4158,129,0,0.02,0.01,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, T. sacculifer subspecies set to N/A",98,1,,340,0,0,0,0,0,0,8,0,0,0,73,2,9,36,0,0,0,0,189,10,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,6,0,0,0,0,0
RC9-140,BUFD_0378,1,Trigger,-45.41666667,121.1166667,4400,129,0,0.02,0.01,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, T. sacculifer subspecies set to N/A",98,1,,351,0,0,0,0,0,0,19,0,0,0,55,1,11,22,0,0,0,0,211,15,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,8,0,0,0,0,0
RC9-143,BUFD_0379,1,Trigger,-41.36666667,114.1333333,4396,129,0,0.02,0.01,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, T. sacculifer subspecies set to N/A",98,1,,236,0,0,0,2,1,0,15,0,0,0,79,1,10,0,0,0,0,0,111,6,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
RC9-144,BUFD_0380,0,Trigger,-39.78333333,111.3833333,4418,129,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,T. sacculifer subspecies set to N/A,98,1,,309,0,0,0,4,0,0,44,0,0,0,90,4,43,7,0,0,0,0,94,1,0,0,4,0,0,11,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0
RC9-147,BUFD_0381,1,Trigger,-29.33333333,113.3666667,2479,129,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"G. ruber pink abundances moved to unidentified, G. crassula identified",66,1,,848,0,0,2,2,83,9,21,3,0,0,50,132,1,0,9,0,0,0,36,49,11,0,198,42,14,4,8,22,16,0,2,0,13,1,1,108,0,0,0,0,0
RC9-150,BUFD_0382,0,Trigger,-31.28333333,114.55,2703,129,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,G. crassula identified,98,1,,275,0,0,0,0,13,3,4,3,0,0,33,43,2,0,3,0,0,0,11,35,0,0,65,10,8,1,1,4,3,0,0,0,2,0,0,29,0,0,0,0,0
RC9-155,BUFD_0383,0,Trigger,7.4,72.8,1765,129,,,0.01,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,G. truncatulinoides subspecies set to N/A,34,1,,857,0,0,0,1,47,3,0,5,0,6,0,66,1,0,28,14,13,0,125,9,7,0,225,64,36,1,5,20,18,2,0,0,25,1,0,129,0,0,0,0,0
RC9-161,BUFD_0384,0,Trigger,19.56666667,59.6,3332,129,,,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,G. truncatulinoides subspecies set to N/A,34,1,,328,0,0,0,0,12,0,0,4,0,1,0,28,0,0,7,0,0,0,113,32,0,0,30,4,6,0,0,1,3,0,2,0,0,0,0,84,0,0,0,0,0
RC9-162,BUFD_0385,0,Piston,19.08333333,60.41666667,3092,129,,,0.01,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,G. truncatulinoides subspecies set to N/A,34,1,,340,0,0,0,0,16,0,0,2,0,1,0,27,0,0,2,0,2,0,87,29,0,0,32,11,1,1,0,3,1,1,0,0,0,0,0,120,0,0,0,0,0
RC9-163,BUFD_0386,0,Piston,17.88333333,58.08333333,3005,129,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,G. truncatulinoides subspecies set to N/A,34,1,,320,0,0,0,0,6,4,0,1,0,1,0,9,0,0,0,0,2,0,120,32,1,0,21,1,4,1,3,6,6,0,4,0,4,1,0,88,0,0,0,0,0
RC9-212,BUFD_0387,0,Trigger,44.18333333,-14.9,5083,7,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,,2,1,,472,0,0,3,9,0,0,4,0,0,0,66,2,182,38,0,0,0,0,14,7,0,0,4,1,0,88,9,5,6,0,2,0,0,0,0,28,0,0,1,0,0
RC9-222,BUFD_0388,0,Trigger,45.08333333,-10.55,4903,7,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"G. truncatulinoides subspecies set to N/A, T. sacculifer subspecies set to N/A",2,1,,336,0,0,0,1,0,2,0,0,0,0,62,11,120,6,0,0,0,0,20,9,0,0,3,0,0,59,6,6,5,0,0,0,0,0,0,25,0,0,0,0,0
RC9-225,BUFD_0389,0,,54.96666667,-15.38333333,2334,7,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,T. sacculifer subspecies set to N/A,2,1,,327,0,0,0,0,0,7,1,0,0,0,21,5,130,3,0,0,0,0,75,6,0,0,0,0,0,0,0,1,1,0,23,0,0,0,0,52,0,0,0,0,0
RC10-22,BUFD_0390,0,,21.3,-69.65,3832,7,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,,2,1,,520,0,0,2,0,0,2,12,0,0,0,2,3,1,0,1,0,0,0,1,2,6,56,249,33,17,6,1,19,20,0,0,2,10,0,0,74,0,0,0,0,0
RC10-49,BUFD_0391,1,Trigger,16.56666667,-79.51666667,1238,7,0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, G. adamsi abundances moved to unidentified",14,1,,385,0,0,0,0,35,2,1,2,0,0,0,12,0,0,3,0,0,0,0,0,1,59,112,81,2,8,0,10,5,0,0,0,10,0,3,36,0,0,0,0,0
RC10-53,BUFD_0392,0,Trigger,4.683333333,-87.81666667,2774,49,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,G. truncatulinoides subspecies set to N/A,66,1,,430,0,0,0,0,124,0,0,18,0,0,0,220,12,2,10,0,1,0,4,2,4,0,2,5,0,1,7,7,2,0,0,0,1,2,0,5,0,0,0,0,0
RC10-54,BUFD_0393,0,Trigger,4.516666667,-88.53333333,2492,49,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,G. truncatulinoides subspecies set to N/A,66,1,,397,0,0,0,2,121,0,0,7,0,2,0,114,12,0,14,3,4,0,23,5,2,0,21,17,0,0,1,6,4,0,0,0,1,0,0,35,0,0,0,0,0
RC10-131,BUFD_0394,1,Trigger,-14.53333333,157.9666667,2933,81,0,0.09,0.045,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",98,1,,619,0,0,1,0,5,0,0,3,0,0,0,23,1,0,15,0,0,0,20,3,22,0,271,87,9,7,2,40,17,0,0,0,6,2,0,84,0,0,0,0,0
RC10-135,BUFD_0395,1,Trigger,-12.41666667,152.85,3902,81,0,0.06,0.03,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,sample depth information from duplicate sample,98,1,,981,0,0,6,0,11,1,1,4,0,0,0,81,1,0,28,0,0,0,44,2,19,0,405,100,3,4,3,43,23,0,0,0,12,2,2,183,0,0,0,0,0
RC10-139,BUFD_0396,1,Trigger,-3.033333333,156.4333333,1781,81,0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",98,1,,447,0,0,1,0,2,0,0,1,0,0,0,18,0,0,27,3,0,0,27,0,5,0,173,40,6,0,0,23,7,0,0,0,16,0,2,93,0,0,0,0,0
RC10-140,BUFD_0397,1,Trigger,-2.65,156.9833333,1679,81,0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",98,1,,609,0,0,0,0,1,0,0,1,0,0,0,13,1,0,44,3,0,0,33,1,10,0,241,59,9,0,0,34,5,0,0,0,25,0,2,126,0,0,0,0,0
RC10-141,BUFD_0398,1,Trigger,-1.133333333,156.3,1904,81,0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",98,1,,319,0,0,0,0,0,0,0,3,0,0,0,12,0,0,22,2,0,0,18,2,0,0,127,28,4,1,0,13,4,0,0,1,10,0,0,71,0,0,0,0,0
RC10-142,BUFD_0399,1,Trigger,-0.8,155.2333333,2294,81,0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",98,1,,366,0,0,0,0,0,1,0,1,0,0,0,10,0,1,38,1,0,0,1,0,2,0,147,40,3,1,1,28,7,0,0,0,3,0,0,79,0,0,0,0,0
RC10-143,BUFD_0400,0,Trigger,-0.333333333,153.9833333,3074,81,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,G. truncatulinoides subspecies set to N/A,98,1,,300,0,0,2,0,22,2,0,2,0,0,0,41,0,0,28,3,0,0,20,1,5,0,49,21,1,2,0,38,4,0,0,0,2,0,4,52,0,0,0,0,0
RC10-144,BUFD_0401,1,Trigger,-0.033333333,152.9333333,4191,81,0,0.02,0.01,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",98,1,,685,0,0,0,2,23,1,0,14,0,0,0,53,0,0,136,3,0,0,61,3,11,0,194,65,11,0,4,63,12,0,0,0,14,1,0,0,0,0,0,0,0
RC10-146,BUFD_0402,1,Trigger,1.266666667,149.2,2468,49,0,0.02,0.01,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, G. ruber pink abundances moved to unidentified",66,1,,1834,0,0,8,2,41,4,9,29,0,0,0,87,5,1,224,16,2,0,77,15,26,0,524,196,26,2,2,109,51,0,0,0,42,4,4,315,0,0,0,0,0
RC10-149,BUFD_0403,0,Trigger,6.766666667,150.3833333,4451,49,,,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,G. truncatulinoides subspecies set to N/A,2,1,,347,0,0,0,0,10,0,0,6,0,0,1,18,4,90,51,7,0,0,37,6,6,0,19,29,0,0,2,13,3,0,0,0,0,2,0,36,0,0,0,0,0
RC10-161,BUFD_0404,0,Trigger,33.08333333,158,3587,49,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,,66,1,,486,0,0,1,0,2,3,4,0,0,0,244,52,111,7,1,0,0,0,15,5,0,0,13,2,0,9,1,0,3,0,0,0,0,0,0,11,0,0,0,0,0
RC10-162,BUFD_0405,0,Trigger,31.41666667,158.8,3913,49,,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,T. sacculifer subspecies set to N/A,66,1,,672,0,0,0,4,4,0,14,6,0,0,551,10,64,1,0,0,0,0,1,1,0,0,5,0,0,4,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0
RC10-172,BUFD_0406,0,Trigger,32.13333333,154.6333333,4387,49,,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,T. sacculifer subspecies set to N/A,66,1,,827,0,0,0,0,1,0,16,0,0,0,577,8,177,7,8,0,0,0,5,5,1,0,9,0,0,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0
RC10-175,BUFD_0407,0,Trigger,34.58333333,159.1666667,4014,49,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,,66,1,,1027,0,0,0,1,0,1,3,0,0,0,455,117,298,25,0,0,0,0,56,14,2,0,10,1,0,1,0,2,2,0,4,0,0,0,0,30,0,0,0,0,0
RC10-250,BUFD_0408,0,Trigger,6.283333333,-84.31666667,1734,49,0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,G. truncatulinoides subspecies set to N/A,66,1,,276,0,0,0,1,40,2,0,4,0,0,0,103,8,0,5,2,5,0,39,1,0,0,43,12,2,2,0,1,2,0,0,0,0,0,0,1,0,0,0,0,0
RC10-256,BUFD_0409,1,Trigger,13.48333333,-81.63333333,1146,7,0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"G. conglomerata abundances moved to unidentified, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",10,1,,390,0,0,3,0,26,0,0,2,0,0,0,16,0,1,0,0,0,0,2,0,5,49,129,92,2,3,0,16,8,0,0,0,2,0,0,32,0,0,0,0,0
RC10-262,BUFD_0410,1,Trigger,23.43333333,-86.3,1767,7,0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,sample depth information from duplicate sample,10,1,,341,0,0,4,0,20,2,3,10,0,0,1,21,1,0,6,0,0,0,2,5,1,25,115,69,2,7,1,11,8,0,1,0,9,0,1,16,0,0,0,0,0
