Sample,Sample ID,Flag,Device,Latitude,Longitude,Water depth,Ocean,Sample depth top,Sample depth bottom,Sample depth average,Author,Journal,Year,Publication doi,Resource doi,Comment,Database,Type,Count min,Count,D. anfracta,G. cavernula,G. crassaformis,G. hirsuta,G. cultrata,G. scitula,G. truncatulinoides,G. tumida,G. ungulata,G. theyeri,G. inflata,N. dutertrei,N. incompta,N. pachyderma,P. obliquiloculata,G. conglomerata,G. hexagonus,B. pumilio,G. bulloides,G. falconensis,G. conglobatus,G. ruber ruber,G. ruber albus,T. sacculifer,G. tenellus,O. universa,B. digitata,G. siphonifera,G. calida,G. adamsi,T. quinqueloba,T. humilis,G. rubescens,S. dehiscens,C. nitida,G. glutinata,G. uvula,G. minuta,T. iota,H. pelagica,H. digitata,SST
RC11-255,BUFD_0471,1,Trigger,30.73333333,-75.31666667,3728.0,7.0,0.0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,G. adamsi abundances moved to unidentified,2,1,,384.0,0.0,0.0,0.0,7.0,13.0,1.0,29.0,2.0,0.0,0.0,6.0,13.0,0.0,0.0,7.0,0.0,0.0,0.0,5.0,24.0,4.0,11.0,128.0,32.0,13.0,4.0,0.0,32.0,18.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,24.89963722229004
RC11-260,BUFD_0472,0,Trigger,38.03333333,-70.8,3835.0,7.0,0.0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,,2,1,,555.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,1.0,0.0,0.0,123.0,93.0,199.0,1.0,2.0,0.0,0.0,0.0,56.0,10.0,3.0,5.0,15.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,17.258676528930664
RC12-7,BUFD_0474,1,Trigger,27.15,-91.55,1942.0,7.0,0.0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,sample depth information from duplicate sample,10,1,,325.0,0.0,0.0,0.0,1.0,40.0,0.0,38.0,9.0,0.0,0.0,0.0,13.0,0.0,0.0,25.0,0.0,0.0,0.0,10.0,6.0,5.0,18.0,108.0,10.0,0.0,3.0,0.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,25.097536087036133
RC12-9,BUFD_0475,0,Trigger,25.78333333,-94.23333333,3263.0,7.0,0.0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,,2,1,,244.0,0.0,0.0,1.0,0.0,21.0,2.0,37.0,10.0,0.0,0.0,0.0,4.0,0.0,0.0,38.0,0.0,0.0,0.0,12.0,2.0,2.0,21.0,33.0,9.0,1.0,10.0,0.0,6.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,25.5125675201416
RC12-10,BUFD_0476,1,Trigger,23.4,-95.53333333,3054.0,7.0,0.0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,sample depth information from duplicate sample,10,1,,337.0,0.0,0.0,0.0,1.0,9.0,2.0,35.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,31.0,0.0,0.0,0.0,7.0,0.0,9.0,33.0,127.0,14.0,0.0,12.0,2.0,5.0,11.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,25.8216495513916
RC12-12,BUFD_0477,1,Trigger,22.9,-93.66666667,3749.0,7.0,0.0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,sample depth information from duplicate sample,10,1,,324.0,0.0,0.0,0.0,1.0,21.0,0.0,27.0,10.0,0.0,0.0,0.0,14.0,0.0,0.0,30.0,0.0,0.0,0.0,2.0,3.0,2.0,25.0,112.0,32.0,3.0,6.0,0.0,7.0,9.0,0.0,0.0,0.0,3.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,26.190717697143555
RC12-19,BUFD_0479,1,Trigger,20.45,-86.13333333,1646.0,7.0,0.0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,sample depth information from duplicate sample,10,1,,327.0,0.0,0.0,2.0,2.0,9.0,0.0,5.0,2.0,0.0,0.0,0.0,16.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,37.0,110.0,55.0,2.0,10.0,0.0,32.0,12.0,0.0,0.0,0.0,3.0,0.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,27.504682540893555
RC12-107,BUFD_0480,1,Trigger,-26.0,169.2,3115.0,81.0,0.0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,G. ruber pink abundances moved to unidentified,66,1,,465.0,0.0,0.0,15.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,37.0,12.0,2.0,0.0,5.0,0.0,0.0,0.0,18.0,31.0,7.0,0.0,155.0,40.0,6.0,7.0,1.0,17.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,22.870248794555664
RC12-109,BUFD_0481,1,Trigger,-25.88333333,157.8666667,2930.0,81.0,0.0,0.06,0.03,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, G. crassula identified",98,1,,339.0,0.0,0.0,21.0,12.0,0.0,0.0,2.0,0.0,0.0,0.0,17.0,27.0,0.0,0.0,8.0,0.0,0.0,0.0,14.0,30.0,6.0,0.0,91.0,44.0,4.0,10.0,1.0,19.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,23.3143253326416
RC12-113,BUFD_0482,1,Trigger,-24.88333333,163.5166667,2454.0,81.0,0.0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, G. crassula identified",98,1,,398.0,0.0,0.0,16.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,27.0,15.0,1.0,0.0,5.0,0.0,0.0,0.0,24.0,30.0,10.0,0.0,141.0,35.0,9.0,7.0,0.0,8.0,13.0,0.0,0.0,0.0,3.0,1.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,23.442001342773438
RC12-121,BUFD_0483,0,Trigger,-3.733333333,168.3833333,3519.0,81.0,0.0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,G. truncatulinoides subspecies set to N/A,98,1,,396.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,0.0,0.0,60.0,3.0,3.0,0.0,26.0,7.0,16.0,0.0,112.0,49.0,2.0,1.0,0.0,35.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,28.975162506103516
RC12-122,BUFD_0484,1,Trigger,-1.266666667,166.7166667,4250.0,81.0,0.0,0.02,0.01,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"G. ruber pink abundances moved to unidentified, sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",66,1,,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,12.0,3.0,0.0,256.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,28.81233024597168
RC12-123,BUFD_0485,1,Trigger,1.633333333,164.8166667,4285.0,49.0,0.0,0.02,0.01,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,sample depth information from duplicate sample,66,1,,420.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,33.0,0.0,0.0,0.0,9.0,0.0,0.0,329.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.702001571655273
RC12-124,BUFD_0486,1,Trigger,3.6,163.3333333,4424.0,49.0,0.0,0.02,0.01,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, G. truncatulinoides subspecies set to N/A",66,1,,559.0,0.0,0.0,1.0,0.0,18.0,2.0,0.0,52.0,0.0,0.0,0.0,47.0,1.0,0.0,317.0,4.0,0.0,0.0,9.0,0.0,13.0,0.0,3.0,49.0,0.0,1.0,7.0,23.0,1.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,28.731956481933594
RC12-138,BUFD_0487,1,Trigger,33.0,134.15,605.0,49.0,0.0,0.02,0.01,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,sample depth information from duplicate sample,66,1,,1127.0,0.0,0.0,1.0,0.0,3.0,3.0,8.0,1.0,0.0,0.0,112.0,209.0,120.0,6.0,50.0,0.0,0.0,0.0,168.0,76.0,11.0,0.0,185.0,32.0,6.0,4.0,0.0,7.0,17.0,0.0,3.0,0.0,2.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,21.640222549438477
RC12-139,BUFD_0488,1,Trigger,32.3,134.15,3153.0,49.0,0.0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,sample depth information from duplicate sample,66,1,,362.0,0.0,0.0,1.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,89.0,97.0,60.0,0.0,27.0,0.0,0.0,0.0,31.0,9.0,1.0,0.0,21.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,21.987913131713867
RC12-143,BUFD_0489,1,Trigger,29.76666667,133.2833333,2350.0,49.0,0.0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,sample depth information from duplicate sample,66,1,,1041.0,0.0,0.0,0.0,0.0,7.0,14.0,89.0,3.0,0.0,2.0,213.0,73.0,176.0,9.0,22.0,1.0,0.0,0.0,78.0,22.0,19.0,0.0,128.0,60.0,0.0,32.0,2.0,13.0,6.0,0.0,0.0,0.0,0.0,4.0,0.0,54.0,0.0,0.0,4.0,0.0,0.0,23.359960556030273
RC12-146,BUFD_0490,1,,29.55,131.4166667,3922.0,49.0,0.0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,sample depth information from duplicate sample,66,1,,313.0,0.0,0.0,2.0,0.0,6.0,2.0,3.0,6.0,0.0,0.0,49.0,56.0,5.0,0.0,34.0,0.0,0.0,0.0,21.0,24.0,5.0,0.0,27.0,10.0,2.0,2.0,1.0,3.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,23.439346313476562
RC12-173,BUFD_0491,0,Trigger,20.78333333,-157.9333333,1476.0,49.0,0.0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,,66,1,,303.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,7.0,0.0,158.0,24.0,20.0,2.0,1.0,13.0,7.0,0.0,0.0,0.0,11.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,25.37210464477539
RC12-210,BUFD_0492,0,Trigger,-24.2,-177.6,1529.0,81.0,0.0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,,98,1,,346.0,0.0,0.0,22.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,0.0,144.0,58.0,7.0,5.0,2.0,19.0,6.0,0.0,0.0,0.0,3.0,0.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,23.6366024017334
RC12-233,BUFD_0493,0,Piston,-56.83333333,-66.93333333,1866.0,257.0,,,0.015,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,T. sacculifer subspecies set to N/A,34,1,,351.0,0.0,0.0,2.0,3.0,0.0,1.0,15.0,0.0,0.0,0.0,28.0,2.0,14.0,122.0,0.0,0.0,0.0,0.0,126.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,5.819563865661621
RC12-235,BUFD_0494,0,Piston,-50.41666667,-54.13333333,1525.0,257.0,0.0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,T. sacculifer subspecies set to N/A,34,1,,428.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,27.0,5.0,13.0,211.0,0.0,0.0,0.0,0.0,126.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,6.402277946472168
RC12-241,BUFD_0495,1,Piston,-43.46666667,-57.65,3499.0,11.0,0.0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, T. sacculifer subspecies set to N/A",50,1,,316.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,78.0,13.0,71.0,49.0,0.0,0.0,0.0,0.0,74.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,9.856873512268066
RC12-266,BUFD_0496,1,Trigger,-39.81666667,-24.78333333,3939.0,11.0,0.0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, T. sacculifer subspecies set to N/A",50,1,,415.0,0.0,0.0,0.0,7.0,0.0,1.0,42.0,0.0,0.0,0.0,127.0,7.0,141.0,3.0,0.0,0.0,0.0,0.0,50.0,11.0,0.0,0.0,8.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,14.338695526123047
RC12-268,BUFD_0497,0,Trigger,-37.86666667,-28.86666667,3933.0,11.0,0.0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,,34,1,,345.0,0.0,0.0,0.0,22.0,0.0,0.0,24.0,0.0,0.0,0.0,96.0,6.0,143.0,7.0,0.0,0.0,0.0,0.0,21.0,8.0,0.0,0.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,15.862476348876953
RC12-291,BUFD_0498,0,Piston,-42.58333333,-17.8,3508.0,11.0,0.0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,T. sacculifer subspecies set to N/A,34,1,,328.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,46.0,6.0,37.0,11.0,0.0,0.0,0.0,0.0,133.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,11.156996726989746
RC12-292,BUFD_0499,1,Trigger,-39.66666667,-15.46666667,3541.0,11.0,0.0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, T. sacculifer subspecies set to N/A",50,1,,391.0,0.0,0.0,0.0,27.0,0.0,7.0,21.0,0.0,0.0,0.0,164.0,0.0,23.0,6.0,0.0,0.0,0.0,0.0,30.0,54.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,13.883794784545898
RC12-293,BUFD_0500,0,Trigger,-36.88333333,-13.15,3393.0,11.0,,,0.025,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,T. sacculifer subspecies set to N/A,34,1,,403.0,0.0,0.0,0.0,9.0,0.0,7.0,32.0,0.0,0.0,0.0,120.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,56.0,115.0,0.0,0.0,9.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,16.21030044555664
RC12-294,BUFD_0501,0,Piston,-37.25,-10.08333333,3308.0,11.0,0.0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,T. sacculifer subspecies set to N/A,34,1,,371.0,0.0,0.0,0.0,12.0,0.0,1.0,30.0,0.0,0.0,0.0,104.0,4.0,42.0,3.0,0.0,0.0,0.0,0.0,85.0,64.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,15.151557922363281
RC12-297,BUFD_0502,0,Piston,-36.15,-6.716666667,3528.0,11.0,0.0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,T. sacculifer subspecies set to N/A,34,1,,411.0,0.0,0.0,0.0,7.0,0.0,0.0,22.0,0.0,0.0,0.0,126.0,2.0,89.0,8.0,0.0,0.0,0.0,0.0,122.0,19.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.609451293945312
RC12-298,BUFD_0503,0,Piston,-34.95,-4.75,2213.0,11.0,0.0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,T. sacculifer subspecies set to N/A,34,1,,345.0,0.0,0.0,1.0,11.0,0.0,3.0,21.0,0.0,0.0,0.0,92.0,0.0,73.0,3.0,0.0,0.0,0.0,0.0,42.0,61.0,0.0,0.0,15.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,17.164424896240234
RC12-299,BUFD_0504,1,Trigger,-34.06666667,1.0,4296.0,11.0,0.0,0.05,0.025,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,sample depth information from duplicate sample,50,1,,544.0,0.0,0.0,1.0,47.0,0.0,0.0,43.0,0.0,0.0,0.0,188.0,6.0,183.0,6.0,0.0,0.0,0.0,0.0,25.0,14.0,0.0,0.0,12.0,1.0,0.0,5.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.975303649902344
RC12-300,BUFD_0505,1,Trigger,-32.88333333,2.833333333,4652.0,11.0,0.0,0.01,0.005,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"sample depth information from duplicate sample, T. sacculifer subspecies set to N/A",50,1,,404.0,0.0,0.0,1.0,22.0,0.0,0.0,11.0,0.0,0.0,0.0,195.0,3.0,102.0,3.0,0.0,0.0,0.0,0.0,16.0,10.0,0.0,0.0,19.0,0.0,0.0,2.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,18.050472259521484
RC12-303,BUFD_0506,0,Trigger,-30.46666667,11.53333333,4250.0,11.0,0.0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,T. sacculifer subspecies set to N/A,34,1,,324.0,0.0,0.0,0.0,12.0,0.0,0.0,8.0,0.0,0.0,0.0,159.0,8.0,116.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.096988677978516
RC12-304,BUFD_0507,0,Trigger,-33.21666667,29.18333333,3290.0,129.0,,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,,34,1,,994.0,1.0,0.0,0.0,2.0,14.0,9.0,6.0,1.0,0.0,0.0,72.0,62.0,0.0,0.0,20.0,0.0,2.0,0.0,59.0,67.0,9.0,0.0,294.0,62.0,9.0,4.0,8.0,25.0,40.0,0.0,3.0,0.0,9.0,0.0,0.0,211.0,0.0,0.0,0.0,0.0,0.0,21.270797729492188
RC12-305,BUFD_0508,1,Trigger,-30.3,34.03333333,2794.0,129.0,,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,G. ruber pink abundances moved to unidentified,2,1,,994.0,1.0,0.0,0.0,0.0,12.0,10.0,7.0,1.0,0.0,0.0,251.0,55.0,14.0,1.0,14.0,0.0,2.0,0.0,57.0,33.0,2.0,0.0,193.0,68.0,12.0,13.0,5.0,65.0,45.0,0.0,1.0,0.0,8.0,0.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,22.778432846069336
RC12-306C,BUFD_0509,1,Trigger,-26.93333333,37.0,2501.0,129.0,0.0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"G. ruber pink abundances moved to unidentified, G. truncatulinoides subspecies set to N/A",2,1,,412.0,0.0,0.0,0.0,1.0,11.0,5.0,0.0,1.0,0.0,0.0,31.0,36.0,8.0,2.0,3.0,24.0,0.0,0.0,12.0,16.0,10.0,0.0,136.0,40.0,4.0,12.0,2.0,9.0,3.0,0.0,0.0,0.0,6.0,4.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,24.12843894958496
RC12-316,BUFD_0510,0,Trigger,-10.35,41.56666667,2376.0,129.0,0.0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,,34,1,,449.0,0.0,0.0,1.0,1.0,22.0,6.0,2.0,3.0,0.0,0.0,0.0,29.0,3.0,0.0,19.0,2.0,6.0,0.0,11.0,1.0,9.0,0.0,115.0,36.0,6.0,52.0,2.0,44.0,16.0,4.0,0.0,0.0,11.0,0.0,1.0,45.0,0.0,0.0,0.0,0.0,0.0,26.855812072753906
RC12-329,BUFD_0511,0,Trigger,2.983333333,65.2,3864.0,129.0,0.0,,,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,"G. truncatulinoides subspecies set to N/A, G. crassula identified",34,1,,604.0,0.0,0.0,7.0,0.0,101.0,2.0,0.0,21.0,0.0,0.0,0.0,103.0,33.0,0.0,30.0,17.0,7.0,0.0,23.0,1.0,30.0,0.0,82.0,64.0,0.0,2.0,8.0,38.0,17.0,0.0,0.0,0.0,0.0,6.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,28.27178955078125
RC12-330,BUFD_0512,1,Trigger,-2.833333333,67.71666667,3834.0,129.0,,,0.01,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,G. ruber pink abundances moved to unidentified,2,1,,440.0,0.0,0.0,3.0,2.0,16.0,4.0,3.0,0.0,0.0,0.0,0.0,27.0,17.0,0.0,13.0,1.0,16.0,0.0,19.0,3.0,0.0,0.0,157.0,29.0,6.0,7.0,5.0,18.0,10.0,1.0,0.0,0.0,7.0,0.0,0.0,73.0,0.0,0.0,0.0,0.0,0.0,28.097932815551758
RC12-331,BUFD_0513,0,Trigger,2.5,69.86666667,3941.0,129.0,,,0.01,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,G. truncatulinoides subspecies set to N/A,34,1,,424.0,0.0,0.0,1.0,1.0,95.0,1.0,0.0,26.0,0.0,0.0,0.0,88.0,6.0,0.0,24.0,9.0,2.0,0.0,1.0,0.0,17.0,0.0,39.0,36.0,0.0,1.0,4.0,7.0,9.0,17.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.341615676879883
RC12-332,BUFD_0514,0,Trigger,0.783333333,74.6,3115.0,129.0,,,0.01,Prell et al.,IGBP PAGES/World Data Center-A for Paleoclimatology,1999,,https://www.ncdc.noaa.gov/paleo/metadata/noaa-ocean-5908.html,G. truncatulinoides subspecies set to N/A,34,1,,495.0,0.0,0.0,0.0,0.0,22.0,2.0,0.0,3.0,0.0,0.0,0.0,36.0,0.0,0.0,31.0,11.0,6.0,0.0,39.0,2.0,5.0,0.0,139.0,77.0,15.0,2.0,1.0,14.0,6.0,0.0,0.0,0.0,12.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,28.253963470458984
